[demo_BW_light_KNN_data]
Labels : black white 
 
Features : h s v 
black ---------- 
> 56 191 41 
> 56 245 32 
> 56 250 33 
> 57 139 51 
> 57 141 94 
> 57 143 94 
> 57 144 94 
> 57 145 94 
> 57 149 52 
> 57 149 52 
> 57 150 52 
> 57 150 91 
> 57 151 52 
> 57 153 52 
> 57 153 91 
> 57 177 75 
> 57 188 43 
> 57 189 43 
> 57 189 54 
> 57 189 54 
> 57 192 43 
> 57 236 35 
> 57 238 35 
> 57 242 33 
> 57 247 32 
> 57 247 32 
> 57 247 33 
> 57 247 33 
> 57 248 33 
> 57 248 33 
> 57 249 33 
> 58 138 51 
> 58 139 51 
> 58 139 51 
> 58 139 51 
> 58 139 51 
> 58 140 52 
> 58 144 51 
> 58 144 52 
> 58 144 52 
> 58 148 52 
> 58 151 52 
> 58 154 52 
> 58 184 54 
> 58 186 54 
> 58 186 54 
> 58 186 54 
> 58 187 54 
> 58 188 53 
> 58 188 53 
> 58 188 54 
> 58 189 43 
> 58 189 54 
> 58 189 54 
> 58 190 54 
> 58 190 54 
> 58 192 53 
> 58 218 38 
> 58 220 38 
> 58 232 35 
> 56 135 30 
> 56 110 19 
> 59 255 100 
> 58 233 72 
> 57 198 57 
> 57 177 48 
> 57 176 48 
> 57 178 49 
> 57 179 49 
> 57 184 51 
> 57 184 51 
> 57 183 51 
> 57 183 51 
> 57 184 51 
> 57 183 51 
> 57 183 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
> 57 184 51 
white ---------- 
> 55 116 141 
> 55 117 121 
> 55 118 129 
> 55 118 129 
> 55 119 129 
> 55 119 129 
> 55 119 129 
> 55 119 131 
> 55 120 129 
> 55 120 129 
> 55 120 129 
> 55 120 129 
> 55 124 130 
> 55 125 123 
> 55 125 126 
> 55 126 126 
> 55 126 126 
> 55 126 126 
> 55 126 126 
> 55 126 126 
> 55 127 125 
> 55 127 126 
> 55 127 126 
> 55 127 126 
> 55 127 126 
> 55 127 126 
> 55 128 125 
> 55 128 126 
> 55 131 126 
> 55 132 126 
> 55 132 126 
> 55 132 127 
> 55 132 127 
> 55 133 127 
> 55 133 127 
> 55 134 122 
> 55 134 127 
> 55 135 122 
> 55 135 123 
> 56 88 140 
> 56 91 141 
> 56 95 142 
> 56 96 133 
> 56 96 133 
> 56 97 133 
> 56 97 133 
> 56 97 133 
> 56 97 133 
> 56 97 133 
> 56 97 140 
> 56 98 133 
> 56 98 133 
> 56 98 133 
> 56 98 133 
> 56 99 127 
> 56 101 121 
> 56 105 122 
> 56 111 124 
> 56 111 130 
> 56 112 122 
> 54 95 121 
> 55 124 131 
> 54 100 122 
> 54 100 122 
> 54 91 119 
> 54 87 118 
> 55 106 125 
> 55 117 129 
> 55 114 128 
> 55 114 127 
> 55 117 128 
> 55 115 128 
> 55 117 128 
> 55 115 128 
> 55 117 129 
> 55 118 129 
> 55 119 129 
> 55 114 128 
> 55 119 129 
> 55 118 129 
> 55 118 129 
> 55 113 127 
> 55 120 130 
> 55 117 128 
> 55 117 129 
> 55 114 127 
> 55 112 127 
> 55 111 126 
> 55 107 125 
> 55 129 133 
> 55 107 125 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
> 55 116 128 
