[black_light_white_light_KNN_data]
Labels : black white 
 
Features : h s v 
black ---------- 
> 54 56 139 
> 54 57 181 
> 55 31 121 
> 55 36 173 
> 55 39 138 
> 55 42 160 
> 55 47 124 
> 55 48 161 
> 55 55 143 
> 55 56 162 
> 55 57 137 
> 55 64 172 
> 55 69 173 
> 55 69 173 
> 56 29 121 
> 56 29 121 
> 56 29 121 
> 56 30 121 
> 56 30 122 
> 56 33 122 
> 56 34 169 
> 56 41 150 
> 56 43 147 
> 56 45 146 
> 56 51 147 
> 56 56 151 
> 56 56 154 
> 56 57 136 
> 56 66 176 
> 57 19 146 
> 57 27 120 
> 57 29 121 
> 57 30 121 
> 57 34 122 
> 57 36 117 
> 57 41 148 
> 57 44 165 
> 57 46 164 
> 57 48 144 
> 57 51 129 
> 57 51 163 
> 57 54 130 
> 57 55 132 
> 58 22 134 
> 58 22 142 
> 58 23 133 
> 58 23 137 
> 58 24 134 
> 58 24 139 
> 58 26 133 
> 58 27 135 
> 58 28 136 
> 58 30 122 
> 58 37 139 
> 58 37 154 
> 58 41 151 
> 58 41 155 
> 58 46 147 
> 58 52 149 
> 59 18 154 
> 59 21 138 
> 59 22 137 
> 59 22 138 
> 59 24 137 
> 59 29 135 
> 59 29 136 
> 59 38 147 
> 59 40 148 
> 59 42 157 
> 59 43 149 
> 59 43 149 
> 59 44 144 
> 59 45 150 
> 59 47 147 
> 60 22 138 
> 60 22 138 
> 60 23 137 
> 60 23 138 
> 60 25 137 
> 60 26 136 
> 60 28 135 
> 60 38 148 
> 60 40 150 
> 60 41 150 
> 60 42 155 
> 60 44 151 
> 60 45 146 
> 61 21 138 
> 61 22 138 
> 61 23 137 
> 57 33 138 
> 56 30 134 
> 56 33 137 
> 58 45 151 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
> 57 37 142 
white ---------- 
> 52 175 101 
> 52 176 90 
> 52 176 100 
> 52 176 101 
> 52 178 100 
> 52 179 79 
> 52 179 101 
> 52 179 101 
> 52 180 80 
> 52 181 100 
> 53 85 96 
> 53 90 96 
> 53 97 97 
> 53 99 92 
> 53 102 97 
> 53 103 91 
> 53 104 87 
> 53 104 93 
> 53 110 86 
> 53 171 78 
> 54 84 95 
> 54 84 101 
> 54 84 101 
> 54 92 101 
> 54 100 132 
> 54 103 96 
> 54 103 103 
> 54 106 94 
> 54 107 96 
> 54 122 114 
> 54 122 117 
> 55 82 106 
> 55 82 140 
> 55 83 101 
> 55 84 94 
> 56 73 145 
> 56 74 104 
> 56 79 140 
> 56 81 106 
> 56 81 106 
> 56 82 105 
> 56 83 105 
> 56 85 105 
> 56 89 132 
> 57 65 142 
> 57 70 139 
> 57 72 115 
> 57 79 120 
> 57 80 138 
> 57 82 102 
> 57 85 100 
> 58 66 102 
> 58 68 136 
> 58 68 152 
> 58 75 106 
> 58 77 117 
> 58 78 100 
> 58 79 137 
> 58 80 102 
> 58 80 103 
> 58 81 107 
> 58 83 100 
> 58 84 100 
> 58 85 102 
> 58 86 103 
> 58 92 98 
> 59 60 149 
> 59 64 153 
> 59 67 102 
> 59 67 103 
> 59 69 155 
> 59 72 103 
> 59 75 95 
> 59 75 104 
> 59 75 137 
> 59 76 136 
> 59 78 105 
> 59 78 136 
> 59 79 103 
> 59 79 113 
> 59 81 90 
> 59 82 95 
> 59 82 103 
> 59 82 104 
> 59 83 95 
> 59 84 84 
> 59 84 95 
> 59 85 102 
> 59 88 101 
> 59 104 85 
> 53 57 86 
> 58 120 121 
> 54 75 96 
> 55 87 102 
> 54 80 99 
> 57 113 117 
> 54 70 93 
> 53 60 88 
> 53 66 91 
> 57 111 116 
> 55 90 104 
> 55 92 105 
> 56 94 106 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
> 56 95 107 
