[black_and_white_light_KNN_data]
Labels : black white 
 
Features : h s v 
black ---------- 
> 60 48 80 
> 61 27 94 
> 61 33 92 
> 61 38 75 
> 61 55 76 
> 62 31 81 
> 62 34 103 
> 62 38 90 
> 62 44 84 
> 62 65 80 
> 63 23 79 
> 63 34 80 
> 63 34 90 
> 63 43 88 
> 63 44 93 
> 63 55 85 
> 64 31 99 
> 64 36 86 
> 64 39 73 
> 64 45 85 
> 64 47 82 
> 65 29 91 
> 65 50 82 
> 65 54 78 
> 66 31 92 
> 66 40 100 
> 67 27 95 
> 67 31 82 
> 67 35 81 
> 67 37 90 
> 68 23 103 
> 68 30 69 
> 68 30 85 
> 68 31 89 
> 68 40 64 
> 69 21 78 
> 69 35 76 
> 69 49 72 
> 70 27 85 
> 70 27 87 
> 70 30 83 
> 71 22 83 
> 71 26 88 
> 71 27 97 
> 71 30 70 
> 71 37 77 
> 72 20 104 
> 73 30 72 
> 73 37 87 
> 74 25 89 
> 74 28 78 
> 74 29 69 
> 74 31 87 
> 75 23 113 
> 70 43 93 
> 61 21 71 
> 67 35 86 
> 65 32 82 
> 65 31 81 
> 66 33 83 
> 66 34 84 
> 66 34 85 
> 66 34 85 
> 66 35 85 
> 66 35 85 
> 66 34 84 
> 66 34 84 
> 66 34 84 
> 66 34 85 
> 66 34 84 
> 66 34 84 
> 66 34 85 
> 66 34 85 
> 66 34 85 
> 66 34 84 
> 66 34 85 
> 66 34 84 
> 66 34 85 
> 66 34 85 
> 66 34 85 
> 66 34 84 
> 66 34 84 
> 66 34 85 
> 66 35 85 
> 66 34 84 
> 66 35 85 
> 66 34 84 
> 66 34 85 
> 66 34 85 
> 66 34 84 
white ---------- 
> 60 29 131 
> 60 29 137 
> 60 30 124 
> 60 31 124 
> 60 31 124 
> 60 31 127 
> 60 32 122 
> 60 32 125 
> 60 33 126 
> 60 34 131 
> 61 26 126 
> 61 27 125 
> 61 28 126 
> 61 28 130 
> 62 26 125 
> 62 28 122 
> 62 28 135 
> 62 29 129 
> 62 29 130 
> 62 30 124 
> 62 30 126 
> 62 30 129 
> 62 31 125 
> 62 32 126 
> 62 33 125 
> 62 35 121 
> 63 26 132 
> 63 26 137 
> 63 27 127 
> 63 27 133 
> 63 27 134 
> 63 28 129 
> 63 28 129 
> 63 28 129 
> 63 28 131 
> 63 28 137 
> 63 30 129 
> 64 22 123 
> 64 24 139 
> 64 25 140 
> 64 26 125 
> 64 27 124 
> 64 27 130 
> 64 28 126 
> 64 28 130 
> 64 28 131 
> 64 28 134 
> 65 26 138 
> 65 27 133 
> 65 27 137 
> 65 28 124 
> 65 28 124 
> 65 28 131 
> 66 25 145 
> 66 28 140 
> 67 23 141 
> 67 26 123 
> 67 26 139 
> 67 26 140 
> 67 27 126 
> 65 31 137 
> 62 27 128 
> 63 28 131 
> 61 26 126 
> 63 29 131 
> 64 30 134 
> 62 27 127 
> 63 29 131 
> 61 26 126 
> 62 27 129 
> 63 28 130 
> 62 27 129 
> 63 28 131 
> 63 28 130 
> 63 28 130 
> 62 27 129 
> 63 28 130 
> 63 28 131 
> 61 26 126 
> 63 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
> 62 28 129 
